gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,,browne_spor,glp_spor,manual_spor
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae,,TRUE,FALSE,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,TRUE,FALSE,FALSE
d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Anaerofustaceae,,TRUE,FALSE,FALSE
d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,,TRUE,FALSE,FALSE
d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,,FALSE,FALSE,FALSE
d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,,TRUE,TRUE,FALSE
d__Bacteria,p__Firmicutes_A,c__Thermosediminibacteria,o__Thermosediminibacterales,f__Tepidanaerobacteraceae,,TRUE,TRUE,TRUE
d__Bacteria,p__Firmicutes_B,c__Syntrophomonadia,o__Syntrophomonadales,f__Syntrophomonadaceae,,FALSE,FALSE,FALSE
d__Bacteria,p__Firmicutes_D,c__Dethiobacteria,o__Dethiobacterales,f__Dethiobacteraceae,,TRUE,FALSE,TRUE
d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halobacteroidales,f__Halobacteroidaceae,,TRUE,FALSE,FALSE
